Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Ponerinae,Odontomachus,ANT-462,2,2.48,0.8,1.44,2.35,2.2,2.75,1.2,1.44,0.35,10.2,2,8,1,1,24,24
Ponerinae,Odontomachus,ANT-581,1.95,2.5,0.5,1.4,2.52,2.2,3,1.13,1.4,0.33,10.13,2,3,1,1,1,1
Ponerinae,Odontomachus,ANT-628,1.63,2.1,0.83,1.23,1.73,1.8,2.83,1,1.23,0.29,8.68,2,8,1,1,24,24
Ponerinae,Odontomachus,ANT-832,2.3,2.8,0.95,1.7,3.2,2.8,3.5,1.3,1.75,0.37,12.1,2,141,1,1,1,1
Ponerinae,Odontomachus,ANT-835,2.28,2.68,0.96,1.72,3.13,2.73,3.25,1.25,1.52,0.48,11.8,2,127,1,1,1,1
Ponerinae,Pachycondyla,ANT-1504,2.6,2.5,0.6,2.15,2.75,2.3,3.9,1.8,2,0.55,14.9,2,198,0,1,1,1
Ponerinae,Pachycondyla,ANT-018,1.6,1.63,0.33,1.1,1.63,1.33,2.48,1.18,1.28,0.3,7.55,1,49,0,1,1,1
Ponerinae,Pachycondyla,ANT-057,1.58,1.58,0.3,1.08,1.45,1.25,2.23,1.15,1.28,0.28,6.85,1,66,0,1,1,1
Ponerinae,Pachycondyla,ANT-1182,1.63,1.37,0.23,1.07,1.47,1.33,2.5,1.23,1.3,0.3,9.33,2,125,0,1,1,1
Ponerinae,Pachycondyla,ANT-1307,0.96,1.22,0.49,0.73,2.43,1.8,2.7,0.8,0.56,0.38,4.23,2,50,4,1,1,23
Ponerinae,Pachycondyla,ANT-1466,1.9,1.83,0.43,1.5,1.8,1.33,3,1.4,1.67,0.2,10.03,2,200,0,1,1,1
Ponerinae,Pachycondyla,ANT-1639,2.85,2.45,0.75,2.25,2.6,2.5,4.35,2.1,2.35,0.55,15.65,2,240,0,1,1,1
Myrmicinae,Pheidole,ANT-1342,0.89,0.67,0.2,0.33,1.31,1.02,1.24,0.58,0.73,0.16,3.73,1.5,65,2,20,20,17
Myrmicinae,Pheidole,ANT-015,0.78,0.67,0.24,0.56,1.31,1.04,1.22,0.47,0.67,0.13,3.49,1,30,2,20,20,19
Myrmicinae,Pheidole,ANT-355,1.53,1.29,0.4,0.76,1,0.67,1.29,0.76,1.38,0.13,4.93,1.5,88,2,24,22,22
Myrmicinae,Pheidole,ANT-1276,0.89,0.64,0.22,0.47,1.27,0.64,1.02,0.51,0.73,0.09,3.31,2,25,2,1,1,1
Myrmicinae,Pheidole,ANT-383,0.73,0.49,0.29,0.27,0.78,0.56,0.89,0.44,0.64,0.13,2.87,1,20,2,24,24,1
Myrmicinae,Megalomyrmex,ANT-1658,0.53,0.4,0.18,0.29,0.49,0.4,0.69,0.36,0.44,0.11,2.44,1,20,0,24,24,24
Myrmicinae,Pheidole,ANT-470,0.53,0.51,0.16,0.33,0.69,0.53,0.69,0.33,0.42,0.11,2.27,1.5,0,2,1,1,23
Myrmicinae,Pheidole,ANT-496,0.84,0.8,0.18,0.62,0.89,0.87,1.09,0.53,0.71,0.13,3.27,2,108,2,22,21,22
